
Stat, Politecnico,,,,
,SO2,NO2,nox,CO,O3,PM10,BENZENE,CH4
04/01/2011 10.00,,,,,,,,
04/01/2011 11.00,,,,,,,,
04/01/2011 12.00,,,,,,,,
04/01/2011 13.00,,,,,,,,
04/01/2011 14.00,,,,,,,,
04/01/2011 15.00,,,,,,,,
04/01/2011 16.00,,,,,,,,
04/01/2011 17.00,,,,,,,,
04/01/2011 18.00,,,,,,,,
04/01/2011 19.00,,,,,,,,
04/01/2011 20.00,,,,,,,,
04/01/2011 21.00,,,,,,,,
04/01/2011 22.00,,,,,,,,
04/01/2011 23.00,,,,,,,,
05/01/2011 0.00,,,,,,,,
05/01/2011 1.00,,,,,,,,
05/01/2011 2.00,,,,,,,,
05/01/2011 3.00,,,,,,,,
05/01/2011 4.00,,,,,,,,
05/01/2011 5.00,,,,,,,,
05/01/2011 6.00,,,,,,,,
05/01/2011 7.00,,,,,,,,
05/01/2011 8.00,,,,,,,,
05/01/2011 9.00,,,,,,,,
05/01/2011 10.00,,,,,,,,
05/01/2011 11.00,,,,,,,,
05/01/2011 12.00,,,,,,,,
05/01/2011 13.00,,,,,,,,
05/01/2011 14.00,,,,,,,,
05/01/2011 15.00,,,,,,,,
05/01/2011 16.00,,,,,,,,
05/01/2011 17.00,,,,,,,,
05/01/2011 18.00,,,,,,,,
05/01/2011 19.00,,,,,,,,
05/01/2011 20.00,,,,,,,,
05/01/2011 21.00,,,,,,,,
05/01/2011 22.00,,,,,,,,
05/01/2011 23.00,,,,,,,,
06/01/2011 0.00,,,,,,,,
06/01/2011 1.00,,,,,,,,
06/01/2011 2.00,,,,,,,,
06/01/2011 3.00,,,,,,,,
06/01/2011 4.00,,,,,,,,
06/01/2011 5.00,,,,,,,,
06/01/2011 6.00,,,,,,,,
06/01/2011 7.00,,,,,,,,
06/01/2011 8.00,,,,,,,,
06/01/2011 9.00,,,,,,,,
06/01/2011 10.00,,,,,,,,
06/01/2011 11.00,,,,,,,,
06/01/2011 12.00,,,,,,,,
06/01/2011 13.00,,,,,,,,
06/01/2011 14.00,,,,,,,,
06/01/2011 15.00,,,,,,,,
06/01/2011 16.00,,,,,,,,
06/01/2011 17.00,,,,,,,,
06/01/2011 18.00,,,,,,,,
06/01/2011 19.00,,,,,,,,
06/01/2011 20.00,,,,,,,,
06/01/2011 21.00,,,,,,,,
06/01/2011 22.00,,,,,,,,
06/01/2011 23.00,,,,,,,,
07/01/2011 0.00,,,,,,,,
07/01/2011 1.00,,,,,,,,
07/01/2011 2.00,,,,,,,,
07/01/2011 3.00,,,,,,,,
07/01/2011 4.00,,,,,,,,
07/01/2011 5.00,,,,,,,,
07/01/2011 6.00,,,,,,,,
07/01/2011 7.00,,,,,,,,
07/01/2011 8.00,,,,,,,,
07/01/2011 9.00,,,,,,,,
07/01/2011 10.00,,,,,,,,
07/01/2011 11.00,,,,,,,,
07/01/2011 12.00,,,,,,,,
07/01/2011 13.00,,,,,,,,
07/01/2011 14.00,,,,,,,,
07/01/2011 15.00,,,,,,,,
07/01/2011 16.00,,,,,,,,
07/01/2011 17.00,,,,,,,,
07/01/2011 18.00,,,,,,,,
07/01/2011 19.00,,,,,,,,
07/01/2011 20.00,,,,,,,,
07/01/2011 21.00,,,,,,,,
07/01/2011 22.00,,,,,,,,
07/01/2011 23.00,,,,,,,,
08/01/2011 0.00,,,,,,,,
08/01/2011 1.00,,,,,,,,
08/01/2011 2.00,,,,,,,,
08/01/2011 3.00,,,,,,,,
08/01/2011 4.00,,,,,,,,
08/01/2011 5.00,,,,,,,,
08/01/2011 6.00,,,,,,,,
08/01/2011 7.00,,,,,,,,
08/01/2011 8.00,,,,,,,,
08/01/2011 9.00,,,,,,,,
08/01/2011 10.00,,,,,,,,
08/01/2011 11.00,,,,,,,,
08/01/2011 12.00,,,,,,,,
08/01/2011 13.00,,,,,,,,
08/01/2011 14.00,,,,,,,,
08/01/2011 15.00,,,,,,,,
08/01/2011 16.00,,,,,,,,
08/01/2011 17.00,,,,,,,,
08/01/2011 18.00,,,,,,,,
08/01/2011 19.00,,,,,,,,
08/01/2011 20.00,,,,,,,,
08/01/2011 21.00,,,,,,,,
08/01/2011 22.00,,,,,,,,
08/01/2011 23.00,,,,,,,,
09/01/2011 0.00,,,,,,,,
09/01/2011 1.00,,,,,,,,
09/01/2011 2.00,,,,,,,,
09/01/2011 3.00,,,,,,,,
09/01/2011 4.00,,,,,,,,
09/01/2011 5.00,,,,,,,,
09/01/2011 6.00,,,,,,,,
09/01/2011 7.00,,,,,,,,
09/01/2011 8.00,,,,,,,,
09/01/2011 9.00,,,,,,,,
09/01/2011 10.00,,,,,,,,
09/01/2011 11.00,,,,,,,,
09/01/2011 12.00,,,,,,,,
09/01/2011 13.00,,,,,,,,
09/01/2011 14.00,,,,,,,,
09/01/2011 15.00,,,,,,,,
09/01/2011 16.00,,,,,,,,
09/01/2011 17.00,,,,,,,,
09/01/2011 18.00,,,,,,,,
09/01/2011 19.00,,,,,,,,
09/01/2011 20.00,,,,,,,,
09/01/2011 21.00,,,,,,,,
09/01/2011 22.00,,,,,,,,
09/01/2011 23.00,,,,,,,,
10/01/2011 0.00,,,,,,,,
10/01/2011 1.00,,,,,,,,
10/01/2011 2.00,,,,,,,,
10/01/2011 3.00,,,,,,,,
10/01/2011 4.00,,,,,,,,
10/01/2011 5.00,,,,,,,,
10/01/2011 6.00,,,,,,,,
10/01/2011 7.00,,,,,,,,
10/01/2011 8.00,,,,,,,,
10/01/2011 9.00,,,,,,,,
10/01/2011 10.00,,,,,,,,
10/01/2011 11.00,,,,,,,,
10/01/2011 12.00,,,,,,,,
10/01/2011 13.00,,,,,,,,
10/01/2011 14.00,,,,,,,,
10/01/2011 15.00,,,,,,,,
10/01/2011 16.00,,,,,,,,
10/01/2011 17.00,,,,,,,,
10/01/2011 18.00,,,,,,,,
10/01/2011 19.00,,,,,,,,
10/01/2011 20.00,,,,,,,,
10/01/2011 21.00,,,,,,,,
10/01/2011 22.00,,,,,,,,
10/01/2011 23.00,,,,,,,,
11/01/2011 0.00,,,,,,,,
11/01/2011 1.00,,,,,,,,
11/01/2011 2.00,,,,,,,,
11/01/2011 3.00,,,,,,,,
11/01/2011 4.00,,,,,,,,
11/01/2011 5.00,,,,,,,,
11/01/2011 6.00,,,,,,,,
11/01/2011 7.00,,,,,,,,
11/01/2011 8.00,,,,,,,,
11/01/2011 9.00,,,,,,,,
11/01/2011 10.00,,,,,,,,
11/01/2011 11.00,,,,,,,,
11/01/2011 12.00,,,,,,,,
11/01/2011 13.00,,,,,,,,
11/01/2011 14.00,,,,,,,,
11/01/2011 15.00,,,,,,,,
11/01/2011 16.00,,,,,,,,
11/01/2011 17.00,,,,,,,,
11/01/2011 18.00,,,,,,,,
11/01/2011 19.00,,,,,,,,
11/01/2011 20.00,,,,,,,,
11/01/2011 21.00,,,,,,,,
11/01/2011 22.00,,,,,,,,
11/01/2011 23.00,,,,,,,,
12/01/2011 0.00,,,,,,,,
12/01/2011 1.00,,,,,,,,
12/01/2011 2.00,,,,,,,,
12/01/2011 3.00,,,,,,,,
12/01/2011 4.00,,,,,,,,
12/01/2011 5.00,,,,,,,,
12/01/2011 6.00,,,,,,,,
12/01/2011 7.00,,,,,,,,
12/01/2011 8.00,,,,,,,,
12/01/2011 9.00,,,,,,,,
12/01/2011 10.00,,,,,,,,
12/01/2011 11.00,,,,,,,,
12/01/2011 12.00,,,,,,,,
12/01/2011 13.00,,,,,,,,
12/01/2011 14.00,,,,,,,,
12/01/2011 15.00,,,,,,,,
12/01/2011 16.00,,,,,,,,
12/01/2011 17.00,,,,,,,,
12/01/2011 18.00,,,,,,,,
12/01/2011 19.00,,,,,,,,
12/01/2011 20.00,,,,,,,,
12/01/2011 21.00,,,,,,,,
12/01/2011 22.00,,,,,,,,
12/01/2011 23.00,,,,,,,,
13/01/2011 0.00,,,,,,,,
13/01/2011 1.00,,,,,,,,
13/01/2011 2.00,,,,,,,,
13/01/2011 3.00,,,,,,,,
13/01/2011 4.00,,,,,,,,
13/01/2011 5.00,,,,,,,,
13/01/2011 6.00,,,,,,,,
13/01/2011 7.00,,,,,,,,
13/01/2011 8.00,,,,,,,,
13/01/2011 9.00,,,,,,,,
13/01/2011 10.00,,,,,,,,
13/01/2011 11.00,,,,,,,,
13/01/2011 12.00,,,,,,,,
13/01/2011 13.00,,,,,,,,
13/01/2011 14.00,,,,,,,,
13/01/2011 15.00,,,,,,,,
13/01/2011 16.00,,,,,,,,
13/01/2011 17.00,,,,,,,,
13/01/2011 18.00,,,,,,,,
13/01/2011 19.00,,,,,,,,
13/01/2011 20.00,,,,,,,,
13/01/2011 21.00,,,,,,,,
13/01/2011 22.00,,,,,,,,
13/01/2011 23.00,,,,,,,,
14/01/2011 0.00,,,,,,,,
14/01/2011 1.00,,,,,,,,
14/01/2011 2.00,,,,,,,,
14/01/2011 3.00,,,,,,,,
14/01/2011 4.00,,,,,,,,
14/01/2011 5.00,,,,,,,,
14/01/2011 6.00,,,,,,,,
14/01/2011 7.00,,,,,,,,
14/01/2011 8.00,,,,,,,,
14/01/2011 9.00,,,,,,,,
14/01/2011 10.00,,,,,,,,
14/01/2011 11.00,,,,,,,,
14/01/2011 12.00,,,,,,,,
14/01/2011 13.00,,,,,,,,
14/01/2011 14.00,,,,,,,,
14/01/2011 15.00,,,,,,,,
14/01/2011 16.00,,,,,,,,
14/01/2011 17.00,,,,,,,,
14/01/2011 18.00,,,,,,,,
14/01/2011 19.00,,,,,,,,
14/01/2011 20.00,,,,,,,,
14/01/2011 21.00,,,,,,,,
14/01/2011 22.00,,,,,,,,
14/01/2011 23.00,,,,,,,,
15/01/2011 0.00,,,,,,,,
15/01/2011 1.00,,,,,,,,
15/01/2011 2.00,,,,,,,,
15/01/2011 3.00,,,,,,,,
15/01/2011 4.00,,,,,,,,
15/01/2011 5.00,,,,,,,,
15/01/2011 6.00,,,,,,,,
15/01/2011 7.00,,,,,,,,
15/01/2011 8.00,,,,,,,,
15/01/2011 9.00,,,,,,,,
15/01/2011 10.00,,,,,,,,
15/01/2011 11.00,,,,,,,,
15/01/2011 12.00,,,,,,,,
15/01/2011 13.00,,,,,,,,
15/01/2011 14.00,,,,,,,,
15/01/2011 15.00,,,,,,,,
15/01/2011 16.00,,,,,,,,
15/01/2011 17.00,,,,,,,,
15/01/2011 18.00,,,,,,,,
15/01/2011 19.00,,,,,,,,
15/01/2011 20.00,,,,,,,,
15/01/2011 21.00,,,,,,,,
15/01/2011 22.00,,,,,,,,
15/01/2011 23.00,,,,,,,,
16/01/2011 0.00,,,,,,,,
16/01/2011 1.00,,,,,,,,
16/01/2011 2.00,,,,,,,,
16/01/2011 3.00,,,,,,,,
16/01/2011 4.00,,,,,,,,
16/01/2011 5.00,,,,,,,,
16/01/2011 6.00,,,,,,,,
16/01/2011 7.00,,,,,,,,
16/01/2011 8.00,,,,,,,,
16/01/2011 9.00,,,,,,,,
16/01/2011 10.00,,,,,,,,
16/01/2011 11.00,,,,,,,,
16/01/2011 12.00,,,,,,,,
16/01/2011 13.00,,,,,,,,
16/01/2011 14.00,,,,,,,,
16/01/2011 15.00,,,,,,,,
16/01/2011 16.00,,,,,,,,
16/01/2011 17.00,,,,,,,,
16/01/2011 18.00,,,,,,,,
16/01/2011 19.00,,,,,,,,
16/01/2011 20.00,,,,,,,,
16/01/2011 21.00,,,,,,,,
16/01/2011 22.00,,,,,,,,
16/01/2011 23.00,,,,,,,,
17/01/2011 0.00,,,,,,,,
17/01/2011 1.00,,,,,,,,
17/01/2011 2.00,,,,,,,,
17/01/2011 3.00,,,,,,,,
17/01/2011 4.00,,,,,,,,
17/01/2011 5.00,,,,,,,,
17/01/2011 6.00,,,,,,,,
17/01/2011 7.00,,,,,,,,
17/01/2011 8.00,,,,,,,,
17/01/2011 9.00,,,,,,,,
17/01/2011 10.00,,,,,,,,
17/01/2011 11.00,,,,,,,,
17/01/2011 12.00,,,,,,,,
17/01/2011 13.00,,,,,,,,
17/01/2011 14.00,,,,,,,,
17/01/2011 15.00,,,,,,,,
17/01/2011 16.00,,,,,,,,
17/01/2011 17.00,,,,,,,,
17/01/2011 18.00,,,,,,,,
17/01/2011 19.00,,,,,,,,
17/01/2011 20.00,,,,,,,,
17/01/2011 21.00,,,,,,,,
17/01/2011 22.00,,,,,,,,
17/01/2011 23.00,,,,,,,,
18/01/2011 0.00,,,,,,,,
18/01/2011 1.00,,,,,,,,
18/01/2011 2.00,,,,,,,,
18/01/2011 3.00,,,,,,,,
18/01/2011 4.00,,,,,,,,
18/01/2011 5.00,,,,,,,,
18/01/2011 6.00,,,,,,,,
18/01/2011 7.00,,,,,,,,
18/01/2011 8.00,,,,,,,,
18/01/2011 9.00,,,,,,,,
18/01/2011 10.00,,,,,,,,
18/01/2011 11.00,,,,,,,,
18/01/2011 12.00,,,,,,,,
18/01/2011 13.00,,,,,,,,
18/01/2011 14.00,,,,,,,,
18/01/2011 15.00,,,,,,,,
18/01/2011 16.00,,,,,,,,
18/01/2011 17.00,,,,,,,,
18/01/2011 18.00,,,,,,,,
18/01/2011 19.00,,,,,,,,
18/01/2011 20.00,,,,,,,,
18/01/2011 21.00,,,,,,,,
18/01/2011 22.00,,,,,,,,
18/01/2011 23.00,,,,,,,,
19/01/2011 0.00,,,,,,,,
19/01/2011 1.00,,,,,,,,
19/01/2011 2.00,,,,,,,,
19/01/2011 3.00,,,,,,,,
19/01/2011 4.00,,,,,,,,
19/01/2011 5.00,,,,,,,,
19/01/2011 6.00,,,,,,,,
19/01/2011 7.00,,,,,,,,
19/01/2011 8.00,,,,,,,,
19/01/2011 9.00,,,,,,,,
19/01/2011 10.00,,,,,,,,
19/01/2011 11.00,,,,,,,,
19/01/2011 12.00,,,,,,,,
19/01/2011 13.00,,,,,,,,
19/01/2011 14.00,,,,,,,,
19/01/2011 15.00,,,,,,,,
19/01/2011 16.00,,,,,,,,
19/01/2011 17.00,,,,,,,,
19/01/2011 18.00,,,,,,,,
19/01/2011 19.00,,,,,,,,
19/01/2011 20.00,,,,,,,,
19/01/2011 21.00,,,,,,,,
19/01/2011 22.00,,,,,,,,
19/01/2011 23.00,,,,,,,,
20/01/2011 0.00,,,,,,,,
20/01/2011 1.00,,,,,,,,
20/01/2011 2.00,,,,,,,,
20/01/2011 3.00,,,,,,,,
20/01/2011 4.00,,,,,,,,
20/01/2011 5.00,,,,,,,,
20/01/2011 6.00,,,,,,,,
20/01/2011 7.00,,,,,,,,
20/01/2011 8.00,,,,,,,,
20/01/2011 9.00,,,,,,,,
20/01/2011 10.00,,,,,,,,
20/01/2011 11.00,,,,,,,,
20/01/2011 12.00,,,,,,,,
20/01/2011 13.00,,,,,,,,
20/01/2011 14.00,,,,,,,,
20/01/2011 15.00,,,,,,,,
20/01/2011 16.00,,,,,,,,
20/01/2011 17.00,,,,,,,,
20/01/2011 18.00,,,,,,,,
20/01/2011 19.00,,,,,,,,
20/01/2011 20.00,,,,,,,,
20/01/2011 21.00,,,,,,,,
20/01/2011 22.00,,,,,,,,
20/01/2011 23.00,,,,,,,,
21/01/2011 0.00,,,,,,,,
21/01/2011 1.00,,,,,,,,
21/01/2011 2.00,,,,,,,,
21/01/2011 3.00,,,,,,,,
21/01/2011 4.00,,,,,,,,
21/01/2011 5.00,,,,,,,,
21/01/2011 6.00,,,,,,,,
21/01/2011 7.00,,,,,,,,
21/01/2011 8.00,,,,,,,,
21/01/2011 9.00,,,,,,,,
21/01/2011 10.00,,,,,,,,
21/01/2011 11.00,,,,,,,,
21/01/2011 12.00,,,,,,,,
21/01/2011 13.00,,,,,,,,
21/01/2011 14.00,,,,,,,,
21/01/2011 15.00,,,,,,,,
21/01/2011 16.00,,,,,,,,
21/01/2011 17.00,,,,,,,,
21/01/2011 18.00,,,,,,,,
21/01/2011 19.00,,,,,,,,
21/01/2011 20.00,,,,,,,,
21/01/2011 21.00,,,,,,,,
21/01/2011 22.00,,,,,,,,
21/01/2011 23.00,,,,,,,,
22/01/2011 0.00,,,,,,,,
22/01/2011 1.00,,,,,,,,
22/01/2011 2.00,,,,,,,,
22/01/2011 3.00,,,,,,,,
22/01/2011 4.00,,,,,,,,
22/01/2011 5.00,,,,,,,,
22/01/2011 6.00,,,,,,,,
22/01/2011 7.00,,,,,,,,
22/01/2011 8.00,,,,,,,,
22/01/2011 9.00,,,,,,,,
22/01/2011 10.00,,,,,,,,
22/01/2011 11.00,,,,,,,,
22/01/2011 12.00,,,,,,,,
22/01/2011 13.00,,,,,,,,
22/01/2011 14.00,,,,,,,,
22/01/2011 15.00,,,,,,,,
22/01/2011 16.00,,,,,,,,
22/01/2011 17.00,,,,,,,,
22/01/2011 18.00,,,,,,,,
22/01/2011 19.00,,,,,,,,
22/01/2011 20.00,,,,,,,,
22/01/2011 21.00,,,,,,,,
22/01/2011 22.00,,,,,,,,
22/01/2011 23.00,,,,,,,,
23/01/2011 0.00,,,,,,,,
23/01/2011 1.00,,,,,,,,
23/01/2011 2.00,,,,,,,,
23/01/2011 3.00,,,,,,,,
23/01/2011 4.00,,,,,,,,
23/01/2011 5.00,,,,,,,,
23/01/2011 6.00,,,,,,,,
23/01/2011 7.00,,,,,,,,
23/01/2011 8.00,,,,,,,,
23/01/2011 9.00,,,,,,,,
23/01/2011 10.00,,,,,,,,
23/01/2011 11.00,,,,,,,,
23/01/2011 12.00,,,,,,,,
23/01/2011 13.00,,,,,,,,
23/01/2011 14.00,,,,,,,,
23/01/2011 15.00,,,,,,,,
23/01/2011 16.00,,,,,,,,
23/01/2011 17.00,,,,,,,,
23/01/2011 18.00,,,,,,,,
23/01/2011 19.00,,,,,,,,
23/01/2011 20.00,,,,,,,,
23/01/2011 21.00,,,,,,,,
23/01/2011 22.00,,,,,,,,
23/01/2011 23.00,,,,,,,,
24/01/2011 0.00,,,,,,,,
24/01/2011 1.00,,,,,,,,
24/01/2011 2.00,,,,,,,,
24/01/2011 3.00,,,,,,,,
24/01/2011 4.00,,,,,,,,
24/01/2011 5.00,,,,,,,,
24/01/2011 6.00,,,,,,,,
24/01/2011 7.00,,,,,,,,
24/01/2011 8.00,,,,,,,,
24/01/2011 9.00,,,,,,,,
24/01/2011 10.00,,,,,,,,
24/01/2011 11.00,,,,,,,,
24/01/2011 12.00,,,,,,,,
24/01/2011 13.00,,,,,,,,
24/01/2011 14.00,,,,,,,,
24/01/2011 15.00,,,,,,,,
24/01/2011 16.00,,,,,,,,
24/01/2011 17.00,,,,,,,,
24/01/2011 18.00,,,,,,,,
24/01/2011 19.00,,,,,,,,
24/01/2011 20.00,,,,,,,,
24/01/2011 21.00,,,,,,,,
24/01/2011 22.00,,,,,,,,
24/01/2011 23.00,,,,,,,,
25/01/2011 0.00,,,,,,,,
25/01/2011 1.00,,,,,,,,
25/01/2011 2.00,,,,,,,,
25/01/2011 3.00,,,,,,,,
25/01/2011 4.00,,,,,,,,
25/01/2011 5.00,,,,,,,,
25/01/2011 6.00,,,,,,,,
25/01/2011 7.00,,,,,,,,
25/01/2011 8.00,,,,,,,,
25/01/2011 9.00,,,,,,,,
25/01/2011 10.00,,,,,,,,
25/01/2011 11.00,,,,,,,,
25/01/2011 12.00,,,,,,,,
25/01/2011 13.00,,,,,,,,
25/01/2011 14.00,,,,,,,,
25/01/2011 15.00,,,,,,,,
25/01/2011 16.00,,,,,,,,
25/01/2011 17.00,,,,,,,,
25/01/2011 18.00,,,,,,,,
25/01/2011 19.00,,,,,,,,
25/01/2011 20.00,,,,,,,,
25/01/2011 21.00,,,,,,,,
25/01/2011 22.00,,,,,,,,
25/01/2011 23.00,,,,,,,,
26/01/2011 0.00,,,,,,,,
26/01/2011 1.00,,,,,,,,
26/01/2011 2.00,,,,,,,,
26/01/2011 3.00,,,,,,,,
26/01/2011 4.00,,,,,,,,
26/01/2011 5.00,,,,,,,,
26/01/2011 6.00,,,,,,,,
26/01/2011 7.00,,,,,,,,
26/01/2011 8.00,,,,,,,,
26/01/2011 9.00,,,,,,,,
26/01/2011 10.00,,,,,,,,
26/01/2011 11.00,,,,,,,,
26/01/2011 12.00,,,,,,,,
26/01/2011 13.00,,,,,,,,
26/01/2011 14.00,,,,,,,,
26/01/2011 15.00,,,,,,,,
26/01/2011 16.00,,,,,,,,
26/01/2011 17.00,,,,,,,,
26/01/2011 18.00,,,,,,,,
26/01/2011 19.00,,,,,,,,
26/01/2011 20.00,,,,,,,,
26/01/2011 21.00,,,,,,,,
26/01/2011 22.00,,,,,,,,
26/01/2011 23.00,,,,,,,,
27/01/2011 0.00,,,,,,,,
27/01/2011 1.00,,,,,,,,
27/01/2011 2.00,,,,,,,,
27/01/2011 3.00,,,,,,,,
27/01/2011 4.00,,,,,,,,
27/01/2011 5.00,,,,,,,,
27/01/2011 6.00,,,,,,,,
27/01/2011 7.00,,,,,,,,
27/01/2011 8.00,,,,,,,,
27/01/2011 9.00,,,,,,,,
27/01/2011 10.00,,,,,,,,
27/01/2011 11.00,,,,,,,,
27/01/2011 12.00,,,,,,,,
27/01/2011 13.00,,,,,,,,
27/01/2011 14.00,,,,,,,,
27/01/2011 15.00,,,,,,,,
27/01/2011 16.00,,,,,,,,
27/01/2011 17.00,,,,,,,,
27/01/2011 18.00,,,,,,,,
27/01/2011 19.00,,,,,,,,
27/01/2011 20.00,,,,,,,,
27/01/2011 21.00,,,,,,,,
27/01/2011 22.00,,,,,,,,
27/01/2011 23.00,,,,,,,,
28/01/2011 0.00,,,,,,,,
28/01/2011 1.00,,,,,,,,
28/01/2011 2.00,,,,,,,,
28/01/2011 3.00,,,,,,,,
28/01/2011 4.00,,,,,,,,
28/01/2011 5.00,,,,,,,,
28/01/2011 6.00,,,,,,,,
28/01/2011 7.00,,,,,,,,
28/01/2011 8.00,,,,,,,,
28/01/2011 9.00,,,,,,,,
28/01/2011 10.00,,,,,,,,
28/01/2011 11.00,,,,,,,,
28/01/2011 12.00,,,,,,,,
28/01/2011 13.00,,,,,,,,
28/01/2011 14.00,,,,,,,,
28/01/2011 15.00,,,,,,,,
28/01/2011 16.00,,,,,,,,
28/01/2011 17.00,,,,,,,,
28/01/2011 18.00,,,,,,,,
28/01/2011 19.00,,,,,,,,
28/01/2011 20.00,,,,,,,,
28/01/2011 21.00,,,,,,,,
28/01/2011 22.00,,,,,,,,
28/01/2011 23.00,,,,,,,,
29/01/2011 0.00,,,,,,,,
29/01/2011 1.00,,,,,,,,
29/01/2011 2.00,,,,,,,,
29/01/2011 3.00,,,,,,,,
29/01/2011 4.00,,,,,,,,
29/01/2011 5.00,,,,,,,,
29/01/2011 6.00,,,,,,,,
29/01/2011 7.00,,,,,,,,
29/01/2011 8.00,,,,,,,,
29/01/2011 9.00,,,,,,,,
29/01/2011 10.00,,,,,,,,
29/01/2011 11.00,,,,,,,,
29/01/2011 12.00,,,,,,,,
29/01/2011 13.00,,,,,,,,
29/01/2011 14.00,,,,,,,,
29/01/2011 15.00,,,,,,,,
29/01/2011 16.00,,,,,,,,
29/01/2011 17.00,,,,,,,,
29/01/2011 18.00,,,,,,,,
29/01/2011 19.00,,,,,,,,
29/01/2011 20.00,,,,,,,,
29/01/2011 21.00,,,,,,,,
29/01/2011 22.00,,,,,,,,
29/01/2011 23.00,,,,,,,,
30/01/2011 0.00,,,,,,,,
30/01/2011 1.00,,,,,,,,
30/01/2011 2.00,,,,,,,,
30/01/2011 3.00,,,,,,,,
30/01/2011 4.00,,,,,,,,
30/01/2011 5.00,,,,,,,,
30/01/2011 6.00,,,,,,,,
30/01/2011 7.00,,,,,,,,
30/01/2011 8.00,,,,,,,,
30/01/2011 9.00,,,,,,,,
30/01/2011 10.00,,,,,,,,
30/01/2011 11.00,,,,,,,,
30/01/2011 12.00,,,,,,,,
30/01/2011 13.00,,,,,,,,
30/01/2011 14.00,,,,,,,,
30/01/2011 15.00,,,,,,,,
30/01/2011 16.00,,,,,,,,
30/01/2011 17.00,,,,,,,,
30/01/2011 18.00,,,,,,,,
30/01/2011 19.00,,,,,,,,
30/01/2011 20.00,,,,,,,,
30/01/2011 21.00,,,,,,,,
30/01/2011 22.00,,,,,,,,
30/01/2011 23.00,,,,,,,,
31/01/2011 0.00,,,,,,,,
31/01/2011 1.00,,,,,,,,
31/01/2011 2.00,,,,,,,,
31/01/2011 3.00,,,,,,,,
31/01/2011 4.00,,,,,,,,
31/01/2011 5.00,,,,,,,,
31/01/2011 6.00,,,,,,,,
31/01/2011 7.00,,,,,,,,
31/01/2011 8.00,,,,,,,,
31/01/2011 9.00,,,,,,,,
31/01/2011 10.00,,,,,,,,
